feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_longum	Case_status	Case_status	0.775918280524905	0.497831213663624	719	570	0.119583035435617	0.376505628564649
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Hungatella.s__Hungatella_hathewayi	Sleep_aid	Sleep_aid	0.562638249343485	0.361420942601089	719	359	0.120023619687937	0.376505628564649
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_unclassified.s__Clostridium_leptum	total_seqs_scaled	total_seqs_scaled	0.234601756530751	0.151085993504124	719	603	0.120969427099627	0.37790449126991
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.f__Veillonellaceae.g__Veillonella.s__Veillonella_dispar	Case_status	Case_status	-0.214248977651748	0.138241230506686	719	86	0.121676067164393	0.378547764511443
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_sp_HPA0247	total_seqs_scaled	total_seqs_scaled	0.172211697018452	0.112126708849064	719	155	0.125062166318197	0.385906113210436
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Eubacterium.s__Eubacterium_hallii	Laxatives	Laxatives	-0.654381492828926	0.425623816183542	719	503	0.124670764078194	0.385906113210436
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_mitis	Do_you_drink_alcohol	Do_you_drink_alcohol	-0.300138664619272	0.195797040427505	719	114	0.125789839653732	0.386573653570004
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__Lactobacillus_rhamnosus	Depression_anxiety_mood_med	Depression_anxiety_mood_med	-0.39534615812639	0.258512206201712	719	133	0.126677805380024	0.387726400272463
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	total_seqs_scaled	total_seqs_scaled	0.376753187819702	0.246694961109034	719	537	0.127201607419162	0.387759738745511
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Eubacterium.s__Eubacterium_sp_CAG_38	Depression_anxiety_mood_med	Depression_anxiety_mood_med	-0.655612635982956	0.43093027963898	719	304	0.128653045951737	0.390609247949853
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_finegoldii	Probiotic	Probiotic	-0.911717727060783	0.602802631575349	719	569	0.130906229532444	0.39586043810611
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_saeculare	Laxatives	Laxatives	0.20898697810802	0.138714632643786	719	39	0.132404458069949	0.398795897613075
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_sp_HPA0247	Do_you_drink_alcohol	Do_you_drink_alcohol	-0.360347912576302	0.239557867726059	719	155	0.133014784243476	0.399044352730429
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__Ruminococcus_bicirculans	Do_you_drink_alcohol	Do_you_drink_alcohol	0.681525641144308	0.453999840241134	719	241	0.133804730659782	0.399827574619742
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	Do_you_drink_alcohol	Do_you_drink_alcohol	0.731077847409474	0.489104587660608	719	592	0.135475516094362	0.403226339241487
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__Lactobacillus_gasseri	Case_status	Case_status	0.20430177842388	0.137446252866145	719	56	0.137659527323743	0.406525791627929
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Klebsiella.s__Klebsiella_pneumoniae	Probiotic	Probiotic	-0.703601159189819	0.473288661477631	719	188	0.137604170403684	0.406525791627929
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Eisenbergiella.s__Eisenbergiella_tayi	Probiotic	Probiotic	-0.658100354231562	0.44360916175909	719	362	0.138427149763899	0.407202043663455
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_mutans	Sleep_aid	Sleep_aid	0.445719734940591	0.301464010440947	719	205	0.139758309830002	0.409524349734424
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_faecis_CAG_32	Antihistamines	Antihistamines	0.422236947415237	0.286118052113088	719	94	0.14050142456707	0.410112266303881
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Pseudoflavonifractor.s__Pseudoflavonifractor_sp_An184	Pain_med	Pain_med	-0.396308536438367	0.269480277809374	719	87	0.141876848322475	0.412534220506889
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii	total_seqs_scaled	total_seqs_scaled	0.260072547038656	0.177118157620868	719	658	0.142495739746275	0.412746280644384
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Pseudoflavonifractor.s__Pseudoflavonifractor_sp_An184	Case_status	Case_status	0.35032949199147	0.239487984946361	719	87	0.144002571046659	0.415518869127
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.f__Veillonellaceae.g__Megasphaera.s__Megasphaera_sp_DISK_18	Do_you_drink_alcohol	Do_you_drink_alcohol	0.297884531266189	0.204485665672011	719	57	0.145672731577054	0.418739867194877
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Eisenbergiella.s__Eisenbergiella_tayi	Sleep_aid	Sleep_aid	0.488253860678195	0.335765944843621	719	362	0.14639204921135	0.419213595468865
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_longum	Antihistamines	Antihistamines	-0.807908287872561	0.5564199763529	719	570	0.146995350837994	0.419352774466126
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.f__Veillonellaceae.g__Veillonella.s__Veillonella_dispar	Laxatives	Laxatives	-0.217034770014334	0.150306361699382	719	86	0.149239522629682	0.42415443273699
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Klebsiella.s__Klebsiella_quasipneumoniae	total_seqs_scaled	total_seqs_scaled	0.141853734031208	0.0985987661850862	719	126	0.150722241660723	0.426764099983169
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Eubacterium.s__Eubacterium_ramulus	Do_you_drink_alcohol	Do_you_drink_alcohol	0.534872330719105	0.374822362792342	719	251	0.154063914181232	0.434598205675417
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Eubacterium.s__Eubacterium_callanderi	Case_status	Case_status	0.297067139531608	0.208641362357366	719	98	0.154983738759218	0.435567682163454
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_saeculare	Case_status	Case_status	0.180796306285547	0.127579972591664	719	39	0.156931027741645	0.437785450083703
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Hungatella.s__Hungatella_hathewayi	Depression_anxiety_mood_med	Depression_anxiety_mood_med	0.51514401057804	0.36328665751758	719	359	0.156671610584774	0.437785450083703
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_oris	Probiotic	Probiotic	-0.541863709519119	0.384476681457599	719	342	0.1592132400524	0.439289085692022
